Date,Open,High,Low,Close
08/01/2024,171.19,175.05,169.1,169.95
07/01/2024,166,170.32,165.25,170.32
06/01/2024,168.11,168.78,165.3,165.56
05/01/2024,170.08,170.08,165.67,167.21
04/01/2024,167.79,170.88,167.31,168.91
03/01/2024,171.55,171.58,167.24,167.53
02/01/2024,163.77,168.18,163.63,168.18
01/01/2024,163.65,165.52,161.4,164.65
31/12/2023,161.74,164.24,159.88,162.7
30/12/2023,159.38,162.1,158.11,159.24
29/12/2023,160.46,165.19,155.06,158.33
28/12/2023,169.08,170.25,160.15,161.8
27/12/2023,148,173.4,148,170
26/12/2023,146.99,155.83,146,154.75
25/12/2023,150.01,151.42,145.78,149.78
24/12/2023,152.7,154.53,149.55,149.98
23/12/2023,155.86,156.07,148.69,152
22/12/2023,157.08,159.33,156.58,157.34
21/12/2023,153.58,158.18,153.15,158.15
20/12/2023,157.65,158.16,152.89,153.6
19/12/2023,157.39,162.27,156.09,158.5
18/12/2023,157.66,159.74,153.49,156.59
17/12/2023,156.41,160.14,155.49,157.71
16/12/2023,156.3,157.83,153.26,156.2
15/12/2023,155.66,161.37,154.755,160.52
14/12/2023,159.8,159.8,154.65,157.3
13/12/2023,154.7,159.95,154.7,159.47
12/12/2023,157.99,159.65,152.34,154.52
11/12/2023,155.56,159.565,154.95,158.08
10/12/2023,156.62,158.83,154.52,155.57
09/12/2023,150.85,154.52,147.97,153.54
08/12/2023,153.87,155.48,152.06,153.76
07/12/2023,153.79,156.86,151.3,152.345
06/12/2023,155.05,156.28,151.49,155.6
05/12/2023,155.3,159.635,155.3,156.36
04/12/2023,159,159,153.7,154.08
03/12/2023,161,167.48,160.72,160.75
02/12/2023,158.25,160.84,156.41,160.13
01/12/2023,157.52,160.16,155.63,159.215
30/11/2023,156.49,158.65,153.93,158.61
29/11/2023,155.37,158.76,154.8,157.15
28/11/2023,154,155.54,151.23,155.49
27/11/2023,156.01,158.27,154.1,154.68
26/11/2023,156.68,158.09,154.83,157.65
25/11/2023,159.52,160.9,154.48,156.5
24/11/2023,159.3,161.91,157.51,160.3
23/11/2023,158.89,163.665,158.89,160.4
22/11/2023,155.88,160.85,154.96,159.2
21/11/2023,154.3,158.51,154.3,157.3
20/11/2023,149.73,154.88,149.73,153.99
19/11/2023,144.94,149.6,144.41,149.45
18/11/2023,140.8,144.79,140.41,144.49
17/11/2023,138,142.14,138,141.33
16/11/2023,137.99,138.53,133.75,137.31
15/11/2023,140,140.17,135.39,135.77
14/11/2023,133.5,139.01,133.42,137.82
13/11/2023,133.28,133.99,131.15,133.46
12/11/2023,132,132.95,130.02,132.52
11/11/2023,129.88,132.47,129,131.89
10/11/2023,134.7,134.81,131.2,131.31
09/11/2023,133.12,136.13,132.28,134.34
08/11/2023,137.69,138.18,133.27,133.43
07/11/2023,139.07,139.65,135.36,139.4
06/11/2023,135.5,139.08,135.5,138.77
05/11/2023,139.96,140.28,135.23,136.35
04/11/2023,138.33,140.11,137.48,139.085
03/11/2023,141.27,141.42,137.225,138.27
02/11/2023,144.74,144.95,141.13,141.93
01/11/2023,145.2,146.5,143.09,144.13
31/10/2023,145.45,147.33,143.82,145.49
30/10/2023,149.2,150.14,143.84,146.09
29/10/2023,148.55,152.74,148.19,150.82
28/10/2023,149.5,151.27,148,148
27/10/2023,144.52,149.3,142.76,148.65
26/10/2023,150.12,153.57,142.99,144.43
25/10/2023,143.6,149.25,141.13,149.25
24/10/2023,150.25,157.99,139.17,140
23/10/2023,172.4,172.4,159.67,163.97
22/10/2023,174,178.98,171.18,171.62
21/10/2023,177.05,177.66,171.48,172.47
20/10/2023,179.62,182,178.09,179.93
19/10/2023,178.04,179.78,175.83,179.5
18/10/2023,172.34,179.4,170.99,179.25
17/10/2023,174.59,179,170.93,171.72
16/10/2023,166.5,173.06,164.6,171.1
15/10/2023,162.2,166.07,161.64,166
14/10/2023,157.29,161.72,156.73,160.57
13/10/2023,156,159.2,155.68,157.42
12/10/2023,156.62,158.41,156.41,156.98
11/10/2023,160.09,160.72,155.485,156.6
10/10/2023,160.82,161.2,158.34,160.73
09/10/2023,160.7,162.32,159.8,160.5
08/10/2023,160.1,161.17,159.09,160.64
07/10/2023,160.6,161.11,158.9,159.2
06/10/2023,158.33,161.49,157.69,160.35
05/10/2023,156.03,159.72,155.66,158.62
04/10/2023,156.64,158.18,152.72,153.7
03/10/2023,156.4,158.28,154.64,157.49
02/10/2023,154.66,159.16,153.51,159.09
01/10/2023,160,160.7,152.93,155.93
30/09/2023,162,162.04,155,156.79
29/09/2023,153.32,160.565,153,159.75
28/09/2023,149.57,152.25,148.68,152.18
27/09/2023,151.59,153.04,149.32,151.65
26/09/2023,152.15,152.65,149.75,151.45
25/09/2023,150.98,151.37,149.15,150.52
24/09/2023,149.5,151.68,148.36,149.63
23/09/2023,149.4,151.56,148.61,149.4
22/09/2023,153.05,155.565,147.56,147.95
21/09/2023,155.95,155.95,152.74,152.99
20/09/2023,151,157.12,150.49,156.35
19/09/2023,155.33,155.33,150.6,151.71
